ticket_id,opened_at,closed_at,region,channel,status,csat
T-1001,2026-04-02,2026-04-05,EMEA,email,closed,4
T-1002,2026-04-02,,EMEA,phone,open,
T-1003,2026-04-03,2026-04-04,AMER,email,closed,5
T-1004,2026-04-07,2026-04-19,EMEA,chat,closed,2
T-1005,2026-04-11,,APAC,email,open,
T-1006,2026-04-14,2026-04-15,AMER,phone,closed,5
T-1007,2026-04-18,2026-05-02,EMEA,email,closed,3
T-1008,2026-04-22,,AMER,chat,open,
T-1009,2026-05-01,2026-05-03,APAC,email,closed,4
T-1010,2026-05-04,2026-05-04,EMEA,phone,closed,5
T-1011,2026-05-09,,EMEA,email,open,
T-1012,2026-05-12,2026-05-30,AMER,email,closed,1
T-1013,2026-05-15,2026-05-16,APAC,chat,closed,4
T-1014,2026-05-19,,EMEA,email,open,
T-1015,2026-05-21,2026-05-22,AMER,phone,closed,5
T-1016,2026-05-28,2026-06-11,EMEA,email,closed,2
T-1017,2026-06-01,2026-06-02,APAC,email,closed,5
T-1018,2026-06-04,,AMER,chat,open,
T-1019,2026-06-08,2026-06-09,EMEA,phone,closed,4
T-1020,2026-06-12,2026-06-26,EMEA,email,closed,3
T-1021,2026-06-15,,APAC,email,open,
T-1022,2026-06-18,2026-06-19,AMER,email,closed,5
T-1023,2026-06-22,2026-06-23,EMEA,chat,closed,4
T-1024,2026-06-25,,EMEA,phone,open,
T-1025,2026-06-29,2026-06-30,AMER,email,closed,5
